,SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
0,67.55,0.0,0.0,0.0,24.88,7.56,0.0,59.2
1,72.04,8.15,0.0,0.0,19.81,0.0,0.0,65.0
2,67.13,8.14,0.0,0.0,24.73,0.0,0.0,63.5
3,68.69,3.89,2.89,5.48,17.75,1.3,0.0,60.76
4,73.0,1.0,4.0,5.0,17.0,0.0,0.0,69.58
5,74.24,0.21,0.0,1.51,23.9,0.0,0.0,58.12
6,73.99,0.28,0.0,2.61,22.97,0.0,0.0,60.53
7,74.14,0.38,0.0,3.81,21.52,0.0,0.0,62.07
8,73.79,0.58,0.15,4.5,20.78,0.0,0.0,62.99
9,73.22,0.3,0.21,6.26,19.39,0.0,0.0,65.67
10,74.4,0.31,0.24,7.45,17.2,0.0,0.0,66.69
11,71.32,0.0,0.0,0.0,23.08,5.59,0.0,62.5
12,70.81,1.72,4.07,5.66,17.74,0.0,0.0,72.0
13,67.13,8.14,0.0,0.0,24.73,0.0,0.0,63.9
14,67.13,8.14,0.0,0.0,24.73,0.0,0.0,60.28
15,67.13,8.14,0.0,0.0,24.73,0.0,0.0,64.0
16,72.14,6.72,0.0,0.0,21.14,0.0,0.0,64.5
17,66.95,8.12,0.0,0.0,24.69,0.0,0.0,65.0
18,77.44,0.0,0.0,0.0,14.98,7.59,0.0,59.2
19,50.54,25.73,23.73,0.0,0.0,0.0,0.0,109.4
20,52.2,28.2,17.2,0.0,0.0,0.0,0.0,108.0
21,52.2,27.4,17.2,0.0,0.0,0.0,0.0,111.4
22,52.0,27.5,16.7,0.0,0.0,0.0,0.0,110.2
23,52.2,26.2,17.4,0.0,0.0,0.0,0.0,108.7
24,52.2,28.0,17.0,0.0,0.0,0.0,0.0,108.2
25,52.03,32.1,15.86,0.0,0.0,0.0,0.0,104.1
26,55.0,30.0,12.0,3.0,0.0,0.0,0.0,100.8
27,55.89,31.61,12.5,0.0,0.0,0.0,0.0,102.0
28,51.0,31.0,15.0,3.0,0.0,0.0,0.0,98.3
29,51.0,31.0,15.0,0.0,0.0,0.0,0.0,98.0
30,55.37,31.48,12.45,0.0,0.0,0.0,0.0,100.0
31,55.89,31.61,12.5,0.0,0.0,0.0,0.0,101.0
32,52.16,30.56,14.63,0.12,0.05,0.01,0.0,103.2
33,54.08,25.02,16.49,0.14,0.05,0.02,0.0,100.7
34,52.36,30.68,16.6,0.14,0.08,0.0,0.0,105.2
35,51.8,30.37,13.26,4.39,0.08,0.004434,0.0,103.4
36,56.11,21.64,22.24,0.0,0.0,0.0,0.0,106.4
37,57.62,17.78,24.6,0.0,0.0,0.0,0.0,104.4
38,53.2,20.0,24.1,0.0,0.0,0.0,0.0,100.5
39,54.0,18.6,24.0,0.0,0.0,0.0,0.0,101.2
40,52.2,21.0,24.8,0.0,0.0,0.0,0.0,103.9
41,53.2,21.0,22.5,0.0,0.0,0.0,0.0,104.0
42,53.2,24.1,21.4,0.0,0.0,0.0,0.0,102.4
43,57.0,18.6,23.8,0.0,0.0,0.0,0.0,102.4
44,54.0,18.3,24.0,0.0,0.0,0.0,0.0,104.4
45,52.5,19.0,23.8,0.0,0.0,0.0,0.0,100.5
46,54.2,24.2,17.6,0.0,0.0,0.0,0.0,109.6
47,53.2,24.1,18.6,0.0,0.0,0.0,0.0,105.2
48,50.5,24.5,22.2,0.0,0.0,0.0,0.0,104.4
49,54.0,19.2,23.4,0.0,0.0,0.0,0.0,101.7
50,54.0,19.2,24.5,0.0,0.0,0.0,0.0,101.2
51,57.77,21.3,18.87,0.15,0.05,0.02,0.0,101.8
52,56.33,24.93,16.76,0.14,0.05,0.02,0.0,101.9
53,53.83,24.92,18.06,0.15,0.05,0.02,0.0,101.0
54,51.59,32.97,0.0,0.0,15.43,0.0,0.0,78.0
55,57.65,26.34,0.0,0.0,16.01,0.0,0.0,71.2
56,56.81,29.66,0.0,0.0,13.52,0.0,0.0,73.7
57,51.62,32.85,0.0,0.0,15.53,0.0,0.0,77.0
58,55.92,29.65,0.0,0.0,14.42,0.0,0.0,72.3
59,51.13,28.54,5.41,0.08,14.48,0.0,0.0,78.2
60,50.51,28.05,0.08,6.72,14.29,0.0,0.0,77.6
61,51.13,28.54,5.41,0.08,14.48,0.0,0.0,77.59
62,50.53,28.05,0.08,6.72,14.29,0.0,0.0,78.24
63,58.1,25.1,1.32,0.0,15.25,0.0,0.0,71.0
64,55.89,25.13,0.0,0.0,15.27,0.0,0.0,80.0
65,54.85,25.44,2.84,0.0,12.12,0.0,0.0,72.0
66,50.01,30.77,2.77,0.0,11.83,0.0,0.0,75.0
67,54.94,31.07,0.0,0.0,9.44,0.0,0.0,83.3
68,53.95,26.8,1.77,0.0,13.12,2.75,0.0,71.0
69,53.62,24.26,0.0,0.0,22.12,0.0,0.0,73.0
70,54.78,23.58,0.0,0.0,21.64,0.0,0.0,72.0
71,56.41,19.14,5.05,0.0,19.4,0.0,0.0,72.0
72,54.2,17.75,6.12,0.35,21.58,0.0,0.0,73.3
73,53.82,22.05,4.98,0.0,19.15,0.0,0.0,73.0
74,55.72,22.06,4.98,0.0,17.24,0.0,0.0,73.0
75,65.06,15.77,0.0,0.0,19.17,0.0,0.0,69.8
76,65.06,15.77,0.0,0.0,19.17,0.0,0.0,70.0
77,61.04,15.97,4.01,0.0,16.99,1.48,0.0,73.0
78,62.15,15.41,2.51,0.0,17.86,0.73,0.25,70.7
79,64.99,13.99,2.99,0.0,16.99,0.52,0.0,71.4
80,59.27,15.01,2.0,2.0,19.42,0.0,0.0,72.0
81,61.93,11.24,5.95,0.0,18.28,0.0,0.0,72.2
82,58.8,13.9,5.76,0.36,20.88,0.3,0.0,71.9
83,60.0,14.0,8.0,0.0,18.0,0.0,0.0,73.0
84,61.32,11.25,1.91,2.65,19.53,2.97,0.0,71.0
85,63.11,22.94,0.0,0.0,13.95,0.0,0.0,71.9
86,61.0,17.0,4.0,0.0,13.0,3.0,0.0,71.54
87,62.1,18.59,0.0,0.0,15.07,0.0,0.0,71.81
88,60.9,24.31,0.0,0.0,14.78,0.0,0.0,70.6
89,66.14,18.7,0.0,0.0,15.16,0.0,0.0,68.63
90,61.14,17.23,2.01,0.0,12.73,4.52,0.0,71.0
91,58.48,18.59,4.01,0.0,11.85,5.02,0.0,72.0
92,60.98,17.03,2.0,0.0,10.72,5.5,0.0,68.0
93,61.61,17.06,2.01,0.0,10.74,5.51,0.0,68.0
94,61.43,17.45,1.99,0.0,12.06,5.45,0.0,72.0
95,61.21,17.4,1.98,0.0,12.02,5.44,0.0,72.0
96,61.17,17.5,2.01,0.2,12.72,4.52,0.0,71.0
97,58.54,19.15,4.02,0.4,11.86,5.02,0.0,72.0
98,61.2,17.62,2.01,0.1,10.77,5.53,0.0,68.0
99,61.83,17.65,2.02,0.1,10.78,5.54,0.0,68.0
100,61.24,17.66,1.98,0.2,12.02,5.44,0.0,72.0
101,61.06,17.95,2.99,0.0,15.98,1.45,0.0,72.2
102,59.98,17.28,3.67,0.0,15.79,2.98,0.0,73.0
103,58.8,17.0,3.0,0.5,15.7,4.0,0.0,72.0
104,61.88,17.23,5.05,0.08,15.38,0.0,0.0,74.7
105,58.46,21.03,4.93,0.07,15.16,0.0,0.0,75.7
106,60.59,16.9,0.07,6.96,15.11,0.0,0.0,72.4
107,60.24,19.17,5.05,0.0,15.54,0.0,0.0,77.0
108,59.5,22.08,4.99,0.0,13.43,0.0,0.0,80.0
109,58.73,19.29,6.35,0.0,15.63,0.0,0.0,79.0
110,62.56,17.69,5.09,0.0,14.66,0.0,0.0,76.0
111,62.17,19.18,5.05,0.0,13.6,0.0,0.0,77.0
112,64.94,17.82,6.41,0.0,10.83,0.0,0.0,79.0
113,59.9,17.9,2.9,1.0,12.3,5.0,0.0,72.0
114,59.9,17.9,2.9,1.0,13.3,4.0,0.0,72.0
115,59.8,18.0,2.9,1.0,14.3,3.0,0.0,72.0
116,59.7,18.0,2.9,1.0,15.3,2.1,0.0,72.0
117,62.19,18.91,2.36,0.04,13.48,0.01,0.0,70.725
118,62.07,18.85,2.28,0.03,12.41,1.38,0.0,70.2006
119,62.2,18.91,2.07,0.41,13.43,0.01,0.0,70.7388
120,61.97,18.76,2.02,0.42,12.42,1.38,0.0,70.8285
121,61.97,18.82,2.07,0.05,13.5,0.04,0.0,70.104
122,61.61,18.73,2.07,0.04,12.62,1.35,0.0,70.7043
123,61.66,18.73,1.73,0.41,12.48,1.38,0.0,71.484
124,61.52,18.68,1.69,0.04,12.55,1.38,0.0,70.5732
125,60.24,19.17,5.05,0.0,15.54,0.0,0.0,72.0
126,59.5,22.08,4.99,0.0,13.43,0.0,0.0,75.0
127,58.73,19.29,6.35,0.0,15.63,0.0,0.0,74.0
128,63.13,19.18,5.06,0.0,12.63,0.0,0.0,78.0
129,60.03,19.1,5.03,0.0,12.58,0.0,0.0,72.0
130,59.7,22.16,5.63,0.0,12.51,0.0,0.0,75.0
131,59.27,21.47,5.68,0.0,8.73,0.0,0.0,72.3
132,60.53,17.65,5.71,0.0,14.63,1.48,0.0,74.5
133,60.63,20.58,1.47,0.0,12.88,0.0,0.0,68.7447
134,60.98,20.33,1.41,0.0,12.83,0.0,0.0,69.1656
135,61.42,20.03,1.47,0.0,12.84,0.0,0.0,69.0276
136,60.13,22.55,3.15,0.0,14.17,0.0,0.0,73.63
137,62.3,17.49,4.08,0.44,12.56,0.0,0.0,73.0
138,62.89,20.71,5.04,0.0,11.13,0.0,0.0,77.0
139,64.19,19.04,0.01,0.06,11.58,0.73,0.0,67.5096
140,63.53,17.14,1.9,0.0,14.65,0.0,0.0,69.4968
141,58.76,22.43,3.17,1.83,13.46,0.0,0.0,75.3
142,59.48,23.29,3.07,0.0,14.16,0.0,0.0,74.0
143,62.84,20.52,1.51,0.03,11.32,0.0,0.0,69.552
144,65.4,16.98,2.36,0.43,11.77,3.05,0.0,75.0
145,60.49,19.75,1.74,0.41,12.13,1.36,0.0,70.0212
146,61.69,18.71,1.7,0.42,12.23,1.35,0.0,70.1799
147,61.22,19.57,1.51,0.04,13.67,0.01,0.0,69.621
148,61.25,19.69,1.36,0.03,13.12,0.01,0.0,70.1937
149,61.43,19.64,1.12,0.05,13.16,0.01,0.0,68.2617
150,61.33,19.62,1.52,0.03,13.07,0.01,0.0,69.5934
151,61.47,19.53,1.49,0.03,12.88,0.01,0.0,69.1449
152,61.6,18.0,3.0,0.0,14.5,2.0,0.0,71.0
153,62.1,21.5,1.3,0.0,14.7,0.0,0.0,70.0
154,60.87,19.82,2.04,0.04,13.19,0.04,0.0,69.7314
155,61.97,18.81,1.72,0.42,13.18,0.01,0.0,71.2356
156,61.59,19.48,1.29,0.03,12.85,0.01,0.0,71.0631
157,61.78,19.53,1.48,0.03,12.8,0.01,0.0,69.4002
158,60.95,19.27,1.85,0.1,12.65,0.95,0.0,70.6008
159,61.41,19.63,1.12,0.05,13.16,0.04,0.0,68.2617
160,59.5,19.3,1.0,2.0,15.1,2.1,0.0,72.0
161,59.4,18.7,2.9,1.0,15.0,2.0,0.0,72.0
162,60.8,18.0,3.0,0.0,15.1,2.1,0.0,71.0
163,61.5,18.0,3.0,0.0,14.5,2.0,0.0,71.0
164,61.0,21.0,2.0,0.0,15.5,0.0,0.0,70.0
165,59.1,21.0,2.0,0.0,16.4,0.0,0.0,70.0
166,62.28,18.76,0.0,3.29,11.4,0.0,0.0,69.8763
167,60.62,19.31,0.0,0.0,15.59,0.0,0.0,70.0
168,62.56,17.69,5.09,0.0,14.66,0.0,0.0,72.0
169,64.94,17.82,6.41,0.0,10.83,0.0,0.0,75.0
170,59.61,18.1,5.02,0.0,15.35,0.0,0.0,75.0
171,59.1,18.81,4.96,0.0,13.34,0.0,0.0,75.0
172,60.73,19.81,5.01,0.0,13.49,0.0,0.0,76.0
173,61.7,19.8,1.5,0.0,13.2,0.0,0.0,68.0
174,59.56,18.16,5.0,0.0,15.36,0.0,0.0,75.2
175,60.1,19.12,5.04,0.0,13.56,0.0,0.0,71.5
176,59.03,17.88,3.0,1.0,12.09,5.0,0.0,72.0
177,58.44,20.38,1.0,2.0,15.08,2.1,0.0,72.0
178,60.3,18.9,2.9,0.0,15.1,0.0,0.0,70.0
179,59.93,17.98,3.0,0.0,14.19,0.0,0.0,69.0
180,58.63,19.38,3.0,1.0,14.89,2.1,0.0,72.0
181,60.9,19.9,2.0,0.0,14.7,0.0,0.0,69.0
182,61.6,17.9,3.0,0.0,14.6,2.0,0.0,71.0
183,60.0,21.0,2.0,0.0,15.5,0.0,0.0,70.0
184,58.75,23.01,1.82,0.0,12.96,0.14,0.0,69.0276
185,60.13,22.55,3.15,0.0,14.17,0.0,0.0,73.6299
186,60.0,19.0,2.9,0.0,10.1,3.1,0.0,69.0
187,61.1,18.9,2.0,0.0,13.6,1.5,0.0,70.0
188,59.0,23.0,2.0,0.0,14.5,0.0,0.0,71.0
189,61.33,17.98,3.0,0.0,14.49,2.0,0.0,71.0
190,58.49,22.77,2.51,0.03,12.55,0.28,0.0,71.691
191,61.0,20.95,1.57,0.03,12.67,0.0,0.0,69.345
192,61.38,20.8,1.77,0.03,12.27,0.01,0.0,69.621
193,61.3,20.6,1.9,0.03,12.45,0.0,0.0,69.414
194,60.3,21.0,1.21,0.03,12.47,0.03,0.0,67.689
195,62.1,21.5,1.3,0.0,14.7,0.0,0.0,71.0
196,59.0,19.9,1.9,1.0,15.1,2.1,0.0,72.0
197,59.4,18.7,2.9,1.0,12.0,5.0,0.0,73.0
198,59.7,19.5,2.9,1.0,14.8,1.1,0.0,72.0
199,62.0,19.0,2.0,0.0,15.5,0.0,0.0,70.0
200,60.0,21.0,2.0,0.0,16.5,0.0,0.0,70.0
201,61.0,19.0,1.5,0.0,13.5,2.0,0.0,70.0
202,59.4,21.6,2.0,0.0,16.6,0.0,0.0,70.0
203,61.78,20.65,5.02,0.0,12.55,0.0,0.0,75.0
204,59.68,18.98,5.0,0.0,14.43,0.0,0.0,78.0
205,60.37,19.19,5.02,0.0,14.08,0.0,0.0,76.0
206,58.5,19.5,3.0,1.0,15.0,2.0,0.0,72.0
207,62.0,18.0,3.0,0.5,15.0,1.0,0.0,71.0
208,61.5,18.0,3.0,0.5,14.5,2.0,0.0,71.0
209,59.0,21.0,4.0,0.0,14.5,0.0,0.0,73.0
210,60.0,20.0,3.0,0.0,16.5,0.0,0.0,71.0
211,61.0,19.0,1.5,0.0,14.0,1.5,0.0,70.0
212,60.1,21.0,2.0,0.0,16.4,0.0,0.0,70.0
213,61.75,19.74,1.48,0.03,12.83,0.0,0.0,69.069
214,60.5,20.84,1.46,0.03,12.73,0.01,0.0,71.4357
215,58.76,22.19,1.45,0.04,12.69,0.01,0.0,72.2775
216,62.17,19.18,5.05,0.0,13.6,0.0,0.0,73.0
217,59.47,18.92,4.36,0.0,15.34,0.0,0.0,76.0
218,58.42,18.44,3.13,0.0,15.77,0.0,0.0,69.6
219,62.22,18.92,2.36,0.04,13.49,0.01,0.0,70.725
220,60.34,19.67,1.74,0.04,12.28,1.37,0.0,70.0557
221,61.53,19.75,1.44,0.04,13.13,0.01,0.0,69.0
222,62.04,19.06,1.45,0.05,13.22,0.06,0.0,69.4002
223,61.82,19.38,1.46,0.03,12.76,0.01,0.0,69.0759
224,58.45,18.45,3.13,0.0,15.78,0.0,0.06,69.6
225,65.34,16.83,3.47,0.0,13.51,0.0,0.0,77.349
226,65.66,16.87,3.49,0.0,13.58,0.0,0.0,78.453
227,64.74,16.69,3.43,0.0,13.43,0.0,0.0,82.593
228,64.11,16.72,3.46,0.0,13.44,0.0,0.0,81.696
229,61.89,20.85,1.71,0.03,11.56,0.14,0.0,69.1449
230,63.07,17.57,3.79,0.0,12.62,2.95,0.0,71.0
231,59.94,18.12,5.02,0.0,14.98,1.4,0.0,75.0
232,59.24,17.47,5.36,0.0,15.91,1.48,0.0,78.0
233,60.99,16.87,5.27,0.0,15.63,0.89,0.0,73.0
234,60.82,16.82,5.25,0.0,15.57,1.19,0.0,74.0
235,61.9,19.7,1.5,0.0,13.2,0.0,0.0,69.0
236,62.29,19.0,1.52,0.49,12.3,0.0,0.0,69.0
237,62.78,19.0,1.52,0.0,12.3,0.0,0.0,68.0
238,61.57,18.0,3.0,0.08,14.5,2.0,0.0,70.0
239,59.24,21.44,5.71,0.0,13.61,0.0,0.0,76.4
240,58.8,19.0,4.38,0.0,16.36,1.46,0.0,73.0
241,60.26,19.66,1.42,0.4,12.25,1.38,0.0,70.3248
242,61.36,18.88,1.77,0.05,12.59,1.22,0.0,71.1735
243,61.39,19.68,1.37,0.03,13.36,0.01,0.0,69.3312
244,61.65,19.66,1.46,0.03,13.0,0.01,0.0,69.138
245,61.4,19.66,1.43,0.03,12.87,0.01,0.0,69.0621
246,59.65,23.16,1.21,0.0,13.89,0.0,0.0,70.9
247,58.46,21.03,4.93,0.07,15.16,0.0,0.0,74.44
248,62.05,20.2,1.69,0.03,12.03,0.14,0.0,68.6205
249,61.85,20.52,1.76,0.03,11.89,0.14,0.0,68.7861
250,59.63,21.46,1.82,0.0,12.49,0.85,0.0,68.0
251,59.0,23.6,1.6,0.0,15.3,0.0,0.0,70.0
252,61.48,18.0,3.0,0.0,14.5,2.0,0.0,71.0
253,62.0,18.0,3.0,0.0,15.0,1.0,0.0,71.0
254,60.0,19.0,4.0,0.0,15.5,0.0,0.0,71.0
255,61.8,16.8,5.3,0.0,15.2,0.9,0.0,72.0
256,59.1,23.6,1.6,0.0,15.3,0.0,0.0,71.0
257,64.02,17.31,1.87,0.0,12.44,4.36,0.0,73.6
258,69.81,15.79,0.0,0.0,14.4,0.0,0.0,70.9
259,67.47,12.72,0.0,0.0,15.46,0.0,0.0,71.57
260,69.33,13.79,0.0,0.0,8.38,6.36,0.0,73.0
261,69.3,13.8,0.0,0.0,8.4,6.4,0.0,73.0
262,71.3,11.94,0.0,0.0,11.91,0.0,0.0,73.1
263,70.65,11.49,3.89,0.0,13.97,0.0,0.0,70.8
264,72.06,8.38,5.3,0.0,14.26,0.0,0.0,70.6
265,72.58,8.44,6.67,0.0,12.31,0.0,0.0,72.9
266,70.16,11.42,3.55,0.0,13.88,0.0,0.0,73.0
267,70.16,11.42,3.55,0.0,13.88,0.0,0.0,72.3
268,71.11,10.05,6.62,0.0,12.22,0.0,0.0,73.1
269,70.64,11.65,6.58,0.0,11.13,0.0,0.0,72.8
